X1,Codigo_Op,programa_academico,ano_matric,periodo_matric,codigo_asignatura,Nombre.Asignatura,grupo,Forma_Ingreso,Ingreso,Ano_Ingreso,Periodo_Ingreso,Cod_Condicionalidad,Condicionalidad,ano_condicion,periodo_condicion,permanencia,semestre_matricula
1,189,10,2000,1,1172,BIOLOGIA GENERAL,H1,2,I.C.F.E.S.,2000,1,3,PFU,2000,1,1,1
2,189,10,2000,1,1587,QUIMICA GENERAL,S1,2,I.C.F.E.S.,2000,1,3,PFU,2000,1,1,1
3,189,10,2000,1,1403,MATEMATICAS I,ZZ,2,I.C.F.E.S.,2000,1,3,PFU,2000,1,1,1
4,186,10,2000,2,1173,BOTANICA I,A1,2,I.C.F.E.S.,2000,1,3,PFU,2001,1,3,2
5,186,10,2001,1,1403,MATEMATICAS I,A2,2,I.C.F.E.S.,2000,1,3,PFU,2001,1,3,3
6,186,10,2000,2,11008,ESTETICA COMPARADA DE LA MUSICA CON OTRAS ARTES,D,2,I.C.F.E.S.,2000,1,3,PFU,2001,1,3,2
7,186,10,2001,1,1175,ZOOLOGIA I,H,2,I.C.F.E.S.,2000,1,3,PFU,2001,1,3,3
8,186,10,2000,1,1172,BIOLOGIA GENERAL,H2,2,I.C.F.E.S.,2000,1,3,PFU,2001,1,3,1
9,186,10,2000,2,3512,GEOLOGIA,K3,2,I.C.F.E.S.,2000,1,3,PFU,2001,1,3,2
10,186,10,2000,1,1403,MATEMATICAS I,Q1,2,I.C.F.E.S.,2000,1,3,PFU,2001,1,3,1
11,186,10,2000,1,1587,QUIMICA GENERAL,S1,2,I.C.F.E.S.,2000,1,3,PFU,2001,1,3,1
12,186,10,2001,1,1587,QUIMICA GENERAL,S2,2,I.C.F.E.S.,2000,1,3,PFU,2001,1,3,3
13,266,10,2001,1,11050,METAMORFIANDO,0,2,I.C.F.E.S.,2001,1,3,PFU,2001,1,1,1
14,266,10,2001,1,1403,MATEMATICAS I,A2,2,I.C.F.E.S.,2001,1,3,PFU,2001,1,1,1
15,266,10,2001,1,1172,BIOLOGIA GENERAL,H2,2,I.C.F.E.S.,2001,1,3,PFU,2001,1,1,1
16,266,10,2001,1,11102,CULTURA FISICA,J04,2,I.C.F.E.S.,2001,1,3,PFU,2001,1,1,1
17,266,10,2001,1,3512,GEOLOGIA,K2,2,I.C.F.E.S.,2001,1,3,PFU,2001,1,1,1
18,266,10,2001,1,1587,QUIMICA GENERAL,S1,2,I.C.F.E.S.,2001,1,3,PFU,2001,1,1,1
19,207,10,2000,2,1173,BOTANICA I,A1,2,I.C.F.E.S.,2000,1,3,PFU,2002,1,5,2
20,207,10,2001,2,1173,BOTANICA I,A1,2,I.C.F.E.S.,2000,1,3,PFU,2002,1,5,4
21,207,10,2002,1,1174,BOTANICA II,A1,2,I.C.F.E.S.,2000,1,3,PFU,2002,1,5,5
22,207,10,2000,2,11008,ESTETICA COMPARADA DE LA MUSICA CON OTRAS ARTES,D,2,I.C.F.E.S.,2000,1,3,PFU,2002,1,5,2
23,207,10,2001,2,1181,ZOOLOGIA II,D,2,I.C.F.E.S.,2000,1,3,PFU,2002,1,5,4
24,207,10,2001,2,1519,FUNDTOS.DE QCA. ORGANICA,D1,2,I.C.F.E.S.,2000,1,3,PFU,2002,1,5,4
25,207,10,2001,1,1175,ZOOLOGIA I,H,2,I.C.F.E.S.,2000,1,3,PFU,2002,1,5,3
26,207,10,2000,1,1172,BIOLOGIA GENERAL,H1,2,I.C.F.E.S.,2000,1,3,PFU,2002,1,5,1
27,207,10,2001,2,1408,MATEMATICAS II,H2,2,I.C.F.E.S.,2000,1,3,PFU,2002,1,5,4
28,207,10,2001,1,4437,METODOLOGIA DE LA INVESTIGACION,H2,2,I.C.F.E.S.,2000,1,3,PFU,2002,1,5,3
29,207,10,2002,1,1553,BIOQUIMICA I,J1,2,I.C.F.E.S.,2000,1,3,PFU,2002,1,5,5
30,207,10,2000,2,3512,GEOLOGIA,K2,2,I.C.F.E.S.,2000,1,3,PFU,2002,1,5,2
