Parcela,Zona_vida,Altitud,Temp_media,Rango_diurno_Temp,Est_Temp,Prec_anual,Rango_anual_Temp,Prec_min,Est_Prec
59001,bh-T,180,27.3708324432373,9.59166717529297,24.8136959075928,2750,10.3999996185303,98,41.7635231018066
59002,bh-T,188,27.3041667938232,9.54166698455811,24.9051475524902,2670,10.4000015258789,82,42.2918319702148
59003,bh-T,210,27.6749992370605,9.75,26.0680961608887,2640,10.7000007629395,60,47.6277198791504
59004,bh-T,210,27.4583339691162,9.66666698455811,25.0302791595459,2771,10.6000003814697,81,42.283130645752
59005,bh-T,200,27.8166656494141,9.80000019073486,27.6614017486572,2828,10.8000011444092,50,47.7620582580566
59006,bh-T,200,27.595832824707,9.79166603088379,26.7529277801514,2786,10.7000007629395,57,42.9290199279785
59007,bh-T,220,27.6791667938232,9.55833339691162,31.7989807128906,2876,10.6000003814697,72,43.8791351318359
59008,bh-T,220,27.9333343505859,9.51666641235352,30.1762561798096,2939,10.5,81,40.0647583007812
59009,bh-T,200,27.8666667938232,9.58333301544189,31.6467514038086,2902,10.6000003814697,65,47.1047248840332
59010,bh-T,150,27.2666664123535,9.44999980926514,30.6248168945312,2610,10.6000003814697,39,45.3756980895996
59011,bh-T,100,27.7041664123535,9.50833320617676,30.8558731079102,2786,10.6000003814697,70,43.0620269775391
59012,bh-T,110,27.5375003814697,9.57499980926514,30.9048938751221,2819,10.5999984741211,105,38.9299392700195
59013,bh-T,80,27.7000007629395,9.64999961853027,30.2264366149902,2905,10.7000007629395,80,39.5644226074219
59014,bh-T,90,27.4624996185303,9.60833358764648,29.3973693847656,2564,10.6000003814697,39,46.4142875671387
59015,bh-T,110,27.6124992370605,9.74166679382324,26.7246360778809,2664,10.6000022888184,98,44.1735610961914
59016,bh-T,120,27.7124996185303,9.70833301544189,28.8511219024658,2679,10.7000007629395,63,45.9067192077637
59017,bh-T,80,27.4208335876465,9.64166641235352,25.9770984649658,2644,10.4999980926514,62,47.5393371582031
59018,bh-T,100,27.2666664123535,9.60000038146973,25.790563583374,2595,10.5000019073486,65,46.0579986572266
59019,bh-T,130,27.1499996185303,9.44999980926514,24.7717094421387,2673,10.3000011444092,82,41.6391563415527
59020,bh-T,140,27.8125,9.77499961853027,26.5539932250977,2695,10.6999988555908,58,47.8241539001465
59021,bh-T,90,27.5375003814697,9.70833301544189,25.5062236785889,2717,10.5999984741211,62,48.0380630493164
59022,bh-T,110,27.625,9.80000019073486,25.6284637451172,2741,10.7000007629395,63,46.5788688659668
