species,locality,municipality,kingdom,phylum,class,order,family,taxonRank,elevation
Aciotis circaeifolia,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,158
Adiantum obliquum,El Aguila,Cimitarra,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,SPECIES,158
Adiantum pulverulentum,El Aguila,Cimitarra,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,SPECIES,159
Adiantum wilsonii,El Aguila,Cimitarra,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,SPECIES,158
Aechmea longicuspis,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,SPECIES,158
Aegiphila cordata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,SPECIES,158
Aegiphila panamensis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,SPECIES,158
Allobates niputidea,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Aromobatidae,SPECIES,155
Amaioua guianensis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Andinoacara latifrons,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,SPECIES,122
Annona glabra,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,SPECIES,158
Annona mucosa,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,SPECIES,159
Anolis auratus,El Aguila,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,SPECIES,137
Anolis tropidogaster,El Aguila,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,SPECIES,154
Apeiba tibourbou,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,SPECIES,159
Apteronotus milesi,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,SPECIES,122
Astyanax fasciatus,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,122
Bactris pilosa,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,SPECIES,158
Basiliscus galeritus,El Aguila,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Corytophanidae,SPECIES,166
Boana pugnax,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Hylidae,SPECIES,124
Bothrops asper,El Aguila,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Viperidae,SPECIES,125
Brachyhypopomus occidentalis,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Gymnotiformes,Hypopomidae,SPECIES,116
Bunocephalus colombianus,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Aspredinidae,SPECIES,116
Byrsonima spicata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,SPECIES,158
Canthidium haroldi,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,183
Canthon cyanellus,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,174
Canthon juvencus,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,184
Canthon mutabilis,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,111
Canthon septemmaculatus,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,186
Canthon subhyalinus,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,178
Capparidastrum grandiflorum,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Capparaceae,SPECIES,159
Cayaponia prunifera,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,SPECIES,159
Celtis iguanaea,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,SPECIES,158
Centrolobium paraense,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,159
Chondrodendron tomentosum,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Menispermaceae,SPECIES,159
Clusia hammeliana,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,SPECIES,158
Codonanthopsis uleana,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,SPECIES,158
Compsoneura mutisii,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Myristicaceae,SPECIES,158
Compsoneura sprucei,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Myristicaceae,SPECIES,158
Coprophanaeus corythus,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,160
Costus spiralis,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,SPECIES,159
Couma macrocarpa,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,SPECIES,158
Coutarea hexandra,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Craugastor metriosistus,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Craugastoridae,SPECIES,151
Creagrutus affinis,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,129
Croton schiedeanus,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,SPECIES,158
Cupania latifolia,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,SPECIES,159
Cupania scrobiculata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,SPECIES,158
Dasyloricaria filamentosa,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,SPECIES,122
Deltochilum guildingii,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,182
Deltochilum longiceps,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,199
Deltochilum molanoi,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,187
Dendrobates truncatus,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,SPECIES,138
