Codigo.de.Parcela,Num_indp,N_Familia,N_cientifico,Genero,Epiteto,Cod_HaCr,Diametro
59001,114,LECYTHIDACEAE,Eschweilera antioquensis,Eschweilera,antioquensis,A,14.2076588740913
59001,64,MALPIGHIACEAE,Byrsonima arthropoda,Byrsonima,arthropoda,A,8.37008321548956
59001,37,MIMOSACEAE,Inga multijuga,Inga,multijuga,A,6.974377426051
59001,1,MORACEAE,Helicostylis tomentosa,Helicostylis,tomentosa,A,38.1280222332256
59001,13,LECYTHIDACEAE,Eschweilera antioquensis,Eschweilera,antioquensis,A,22.9001889884368
59001,71,MIMOSACEAE,Inga multijuga,Inga,multijuga,A,11.9176354040311
59001,96,MIMOSACEAE,Inga multijuga,Inga,multijuga,A,46.127186988544
59001,103,MYRISTICACEAE,Virola flexuosa,Virola,flexuosa,A,58.2349187874759
59001,22,POLYGONACEAE,Coccoloba lehmannii,Coccoloba,lehmannii,A,84.2881077945405
59001,78,MIMOSACEAE,Zygia latifolia,Zygia,latifolia,A,6.62111819642905
59001,23,POLYGONACEAE,Coccoloba lehmannii,Coccoloba,lehmannii,A,84.1004135690003
59001,104,APOCYNACEAE,Himatanthus articulatus,Himatanthus,articulatus,A,3.19211039316842
59001,66,MYRISTICACEAE,Virola sebifera,Virola,sebifera,A,44.8628386877073
59001,92,APOCYNACEAE,Himatanthus articulatus,Himatanthus,articulatus,A,47.6010896142009
59001,105,MIMOSACEAE,Zygia latifolia,Zygia,latifolia,A,27.821877977454
59001,89,APOCYNACEAE,Himatanthus articulatus,Himatanthus,articulatus,A,69.4315075485593
59001,73,FABACEAE,Swartzia macrophylla,Swartzia,macrophylla,A,51.657025577309
59001,93,CAESALPINIACEAE,Peltogyne paniculata,Peltogyne,paniculata,A,39.9539554606181
59001,107,CAESALPINIACEAE,Dialium guianense,Dialium,guianense,A,46.5077269058674
59001,52,MYRISTICACEAE,Virola sebifera,Virola,sebifera,A,39.6668807263272
59001,101,MYRISTICACEAE,Virola sebifera,Virola,sebifera,A,18.4913265841446
59001,75,APOCYNACEAE,Himatanthus articulatus,Himatanthus,articulatus,A,33.4171572153637
59001,82,MELASTOMATACEAE,Miconia magdalenae,Miconia,magdalenae,T,84.3708563951059
59001,109,FLACOURTIACEAE,Casearia javitensis,Casearia,javitensis,A,77.9144319195391
59001,110,MIMOSACEAE,Zygia latifolia,Zygia,latifolia,A,76.6153129975721
59001,113,MYRISTICACEAE,Virola sebifera,Virola,sebifera,A,20.4524506139014
59001,8,CAESALPINIACEAE,Peltogyne paniculata,Peltogyne,paniculata,A,12.6588081068084
59001,94,FABACEAE,Swartzia macrophylla,Swartzia,macrophylla,A,9.80484482413895
59001,106,MIMOSACEAE,Zygia latifolia,Zygia,latifolia,A,53.2150208847018
59001,81,MIMOSACEAE,Zygia latifolia,Zygia,latifolia,A,14.9338865356277
59001,61,HIPPOCRATEACEAE,Salacia impressifolia,Salacia,impressifolia,A,65.4164406998361
59001,108,RUBIACEAE,Amaioua corymbosa,Amaioua,corymbosa,A,30.0772936730867
59001,88,APOCYNACEAE,Himatanthus articulatus,Himatanthus,articulatus,A,97.6439383544442
59001,29,FLACOURTIACEAE,Casearia javitensis,Casearia,javitensis,A,57.7269102772236
59001,2,ANNONACEAE,Ephedranthus colombianus,Ephedranthus,colombianus,A,31.9483454892342
59001,21,POLYGONACEAE,Coccoloba lehmannii,Coccoloba,lehmannii,A,3.73086280958078
59001,77,ANNONACEAE,Ephedranthus colombianus,Ephedranthus,colombianus,A,37.6546702739351
59001,68,DICHAPETALACEAE,Dichapetalum scandens,Dichapetalum,scandens,SL,67.4287752528187
59001,79,MIMOSACEAE,Zygia latifolia,Zygia,latifolia,A,17.1201701794107
59001,80,MIMOSACEAE,Zygia latifolia,Zygia,latifolia,A,94.7954046189945
59001,95,MORACEAE,Helianthostylis sprucei,Helianthostylis,sprucei,A,47.6157681109513
59001,115,CAESALPINIACEAE,Brownea stenantha,Brownea,stenantha,A,69.4122924735456
59001,11,ANNONACEAE,Ephedranthus colombianus,Ephedranthus,colombianus,A,32.1843922642327
59001,20,ANNONACEAE,Ephedranthus colombianus,Ephedranthus,colombianus,A,25.1418217716596
59001,99,LACISTEMATACEAE,Lacistema aggregatum,Lacistema,aggregatum,A,11.2257266895187
59001,112,RUBIACEAE,Faramea capillipes,Faramea,capillipes,A,89.280004874082607
59001,25,FLACOURTIACEAE,Casearia javitensis,Casearia,javitensis,A,52.39797772875
