"Parcela","N_Familia","N_cientifico","Genero","Epiteto","Cod_HaCr","DAP"
59001,"LECYTHIDACEAE","Eschweilera antioquensis","Eschweilera","antioquensis","A",14.2076588740913
59001,"MALPIGHIACEAE","Byrsonima arthropoda","Byrsonima","arthropoda","A",8.37008321548956
59001,"MIMOSACEAE","Inga multijuga","Inga","multijuga","A",6.974377426051
59001,"MORACEAE","Helicostylis tomentosa","Helicostylis","tomentosa","A",38.1280222332256
59001,"LECYTHIDACEAE","Eschweilera antioquensis","Eschweilera","antioquensis","A",22.9001889884368
59001,"MIMOSACEAE","Inga multijuga","Inga","multijuga","A",11.9176354040311
59001,"MIMOSACEAE","Inga multijuga","Inga","multijuga","A",46.127186988544
59001,"MYRISTICACEAE","Virola flexuosa","Virola","flexuosa","A",58.2349187874759
59001,"POLYGONACEAE","Coccoloba lehmannii","Coccoloba","lehmannii","A",84.2881077945405
59001,"MIMOSACEAE","Zygia latifolia","Zygia","latifolia","A",6.62111819642905
59001,"POLYGONACEAE","Coccoloba lehmannii","Coccoloba","lehmannii","A",84.1004135690003
59001,"APOCYNACEAE","Himatanthus articulatus","Himatanthus","articulatus","A",3.19211039316842
59001,"MYRISTICACEAE","Virola sebifera","Virola","sebifera","A",44.8628386877073
59001,"APOCYNACEAE","Himatanthus articulatus","Himatanthus","articulatus","A",47.6010896142009
59001,"MIMOSACEAE","Zygia latifolia","Zygia","latifolia","A",27.821877977454
59001,"APOCYNACEAE","Himatanthus articulatus","Himatanthus","articulatus","A",69.4315075485593
59001,"FABACEAE","Swartzia macrophylla","Swartzia","macrophylla","A",51.657025577309
59001,"CAESALPINIACEAE","Peltogyne paniculata","Peltogyne","paniculata","A",39.9539554606181
59001,"CAESALPINIACEAE","Dialium guianense","Dialium","guianense","A",46.5077269058674
59001,"MYRISTICACEAE","Virola sebifera","Virola","sebifera","A",39.6668807263272
59001,"MYRISTICACEAE","Virola sebifera","Virola","sebifera","A",18.4913265841446
59001,"APOCYNACEAE","Himatanthus articulatus","Himatanthus","articulatus","A",33.4171572153637
59001,"MELASTOMATACEAE","Miconia magdalenae","Miconia","magdalenae","T",84.3708563951059
59001,"FLACOURTIACEAE","Casearia javitensis","Casearia","javitensis","A",77.9144319195391
59001,"MIMOSACEAE","Zygia latifolia","Zygia","latifolia","A",76.6153129975721
59001,"MYRISTICACEAE","Virola sebifera","Virola","sebifera","A",20.4524506139014
59001,"CAESALPINIACEAE","Peltogyne paniculata","Peltogyne","paniculata","A",12.6588081068084
