"","Complejo","Cordillera","Longitud","Latitud","Alt_min","Alt_max","AREA_KM2","Temp_ann","Isother","Precp_ann","Precp_seasonality"
"1","ACB","CE",-73.6013262706123,5.33102010676191,2972,3183,46.566930617033,10.8797956034073,79.5964107860295,1015.71698113208,49.3014207823893
"2","ALM","CE",-72.66645824535,7.02898171928012,2537,4322,1564.53837187328,8.01958670193047,86.619155871908,1229.15687331536,57.6497944719509
"3","BMR","CC",-75.7271549546029,6.75253471105226,2826,3284,106.135467023143,11.1492937927866,88.2340479251209,2296.23728813559,53.859146180519
"4","CBG","CC",-75.6470334957832,4.14434505961014,2922,3876,806.474974216468,8.03982946530257,93.8449823818207,1444.10126582278,33.0806775044047
"5","CHC","NP",-77.6610270114362,1.14900367444306,2201,4597,629.539759844948,8.19504610818546,87.5732668957063,1133.70580296896,28.0585535917185
"6","CHG","CE",-73.7078103461602,4.7990183270248,2635,3827,1099.51552680639,9.49273187795469,80.0804135760217,1735.00311769291,56.6897753843712
"7","CTR","CW",-76.0358834151057,5.64319038682673,2790,3992,112.19761351377,9.48399122914575,90.5591128230113,2078.00751879699,38.787103937749
"8","DJP","NP",-76.7855516992288,1.38531359083543,2212,4022,691.010016901053,9.15337934360358,85.66232333073,2349.7717791411,26.1537069363847
"9","FRU","CW",-76.1013165939197,6.39626992249996,2820,3815,139.037556219673,9.67204142063562,90.8128790108196,2177.47928994083,46.7603692769916
"10","GLR","CE",-72.8559955894902,5.98798933190605,2529,4114,1196.99742448934,8.6174429567674,80.6897391524078,1058.35144671842,56.3256131320845
"11","GPC","CC",-76.3702081296763,2.40132253007663,2764,4547,1374.71176670976,8.35753783189258,86.7333226961176,1707.76243781095,31.1479178832511
"12","GUE","CE",-73.8797919613523,5.29500237811694,2759,3716,423.249578333208,9.25599222289218,86.8347034859982,1347.3630831643,48.9273010197413
"13","HMS","CC",-76.0118776884511,3.67642870162461,2874,4330,2077.92616779729,7.52596827228399,92.3371604257227,1506.94437577256,33.0016404495702
"14","IGM","CE",-73.4686111001462,5.69467707552693,2511,3688,283.076790491404,9.78803007968902,80.8414718238507,1020.24852071006,51.1971379004479
"15","JSB","CE",-72.8211859652707,7.55361652905672,2705,4178,1425.44922482666,8.75127177327884,88.8332569779681,1129.25653206651,53.1267727510306
"16","LCP","NP",-77.2642106743722,1.10111400576706,2617,4102,1450.863084964,9.19421052469547,85.0525604174061,1805.1269005848,25.8488291921406
"17","NHM","CC",-75.831752571557,2.82654534021542,2486,5164,1503.66429077718,7.73814815010041,89.2211654902137,1553.54757834758,30.5707056067558
"18","NVS","CC",-75.3459696020501,4.65417311614766,3066,5217,1459.54894930122,6.13277373944875,92.9056333757824,1404.81744186047,40.2683967736435
"19","PDN","CW",-76.5207144327061,4.08337564510696,2999,3726,44.4630993423365,8.9135030761913,92.5644136978299,1746.90740740741,38.6341781616295
"20","PIC","CE",-74.9158964470946,2.85083075174371,2470,3495,237.201681737449,11.0561141360929,82.7042247433908,1646.10144927536,36.4434634533988
"21","PLT","CW",-77.2489693312252,2.29733464261685,2599,3650,170.146089073319,10.0929209176882,90.6027318565484,2020.55612244898,34.3943739239172
"22","PRJ","CE",-72.9352180069565,10.3120903715548,2394,3423,297.156838255706,12.1764282365527,79.9508233666301,1239.34277620397,64.7518763765442
"23","PSB","CE",-72.5710735548249,5.94450678292305,2483,3947,1061.69371741542,8.49799582281767,75.8499937504089,1605.05982215036,68.8210942123914
"24","RRB","CE",-73.5449940801149,5.24092121150695,2792,3500,246.480749018827,9.86272675694387,77.0777806609377,1543.54081632653,52.157408970868
"25","SCV","CE",-74.0807629504506,4.08234549070644,2793,4090,3334.1396998128,8.12125223804921,82.1361228352779,1363.61959580455,42.293228437167
"26","SMT","SM",-73.6472139250435,10.8158442443161,2467,5453,1510.11812433988,7.00561013096283,82.3191154799866,1824.96679579413,70.7300100777674
"27","SNC","CE",-72.312613710586,6.49008767802401,2486,5140,2707.75660316777,6.53467636493853,80.1635121171158,1263.99968553459,66.2715418861719
"28","SSN","CC",-75.2804090943521,5.55035565534765,2822,3698,87.0343054277964,9.35066490245204,91.2802615927017,1899.26595744681,34.3125325113018
"29","STR","CC",-76.6102067721934,1.88618383128012,2641,4238,807.73823588229,8.82661717807424,85.4011669095095,1983.58112407211,26.6047359850096
"30","TBM","CE",-73.0262089879422,5.43431754452539,2280,3854,1514.3693729775,9.1270868402503,73.3638252841709,1479.52271452608,64.1240574658049
"31","TMA","CE",-72.3852297335525,7.37293639190922,2574,3520,163.253409826635,10.4550219331917,86.3809228923621,1890.43684210526,60.2423993140751
"32","TTM","CW",-76.0976053059393,5.1271237984258,1493,3915,109.160107348413,9.76726189988946,92.3020600233557,2034.02380952381,37.2616095755972
